64,relu,2,adam,10,8,0.224044, 0.316482
64,relu,2,adam,10,16,0.212253, 0.312662
64,relu,2,adam,10,32,0.221621, 0.321429
64,relu,2,adam,10,64,0.228725, 0.346533
64,relu,2,adam,10,128,0.219787, 0.322156
64,relu,2,adam,10,256,0.22963, 0.330435
64,relu,3,adam,10,8,0.22722, 0.33222
64,relu,3,adam,10,16,0.21132, 0.320985
64,relu,3,adam,10,32,0.220123, 0.319673
64,relu,3,adam,10,64,0.212145, 0.31642
64,relu,3,adam,10,128,0.227734, 0.320977
64,relu,3,adam,10,256,0.225559, 0.324945
64,relu,4,adam,10,8,0.212145, 0.327391
64,relu,4,adam,10,16,0.209875, 0.316931
64,relu,4,adam,10,32,0.215377, 0.321995
64,relu,4,adam,10,64,0.226254, 0.313717
64,relu,4,adam,10,128,0.219476, 0.319936
64,relu,4,adam,10,256,0.226489, 0.338178
64,relu,5,adam,10,8,0.237961, 0.338494
64,relu,5,adam,10,16,0.215081, 0.319046
64,relu,5,adam,10,32,0.21513, 0.324387
64,relu,5,adam,10,64,0.209051, 0.318896
64,relu,5,adam,10,128,0.215715, 0.322011
64,relu,5,adam,10,256,0.248842, 0.360523
64,tanh,2,adam,10,8,0.215241, 0.317689
64,tanh,2,adam,10,16,0.238018, 0.341173
64,tanh,2,adam,10,32,0.232614, 0.325855
64,tanh,2,adam,10,64,0.248103, 0.338166
64,tanh,2,adam,10,128,0.251979, 0.346708
64,tanh,2,adam,10,256,0.273365, 0.365192
64,tanh,3,adam,10,8,0.225148, 0.318866
64,tanh,3,adam,10,16,0.226702, 0.332043
64,tanh,3,adam,10,32,0.235575, 0.329446
64,tanh,3,adam,10,64,0.221118, 0.325245
64,tanh,3,adam,10,128,0.235043, 0.342608
64,tanh,3,adam,10,256,0.247696, 0.353213
64,tanh,4,adam,10,8,0.243508, 0.355629
64,tanh,4,adam,10,16,0.233445, 0.340998
64,tanh,4,adam,10,32,0.224969, 0.327489
64,tanh,4,adam,10,64,0.225109, 0.322122
64,tanh,4,adam,10,128,0.238279, 0.326479
64,tanh,4,adam,10,256,0.256057, 0.355652
64,tanh,5,adam,10,8,0.239673, 0.329573
64,tanh,5,adam,10,16,0.235766, 0.34191
64,tanh,5,adam,10,32,0.221314, 0.31752
64,tanh,5,adam,10,64,0.223995, 0.318587
