FALSE,TRUE,-1,0.372046,0.621981
FALSE,TRUE,1,0.372046,0.621981
FALSE,TRUE,2,0.372046,0.621981
FALSE,TRUE,3,0.372046,0.621981
FALSE,TRUE,4,0.372046,0.621981
FALSE,FALSE,-1,0.372046,0.621981
FALSE,FALSE,1,0.372046,0.621981
FALSE,FALSE,2,0.372046,0.621981
FALSE,FALSE,3,0.372046,0.621981
FALSE,FALSE,4,0.372046,0.621981
TRUE,FALSE,1,0.372047,0.621979
TRUE,FALSE,2,0.372047,0.621979
TRUE,FALSE,3,0.372047,0.621979
TRUE,FALSE,4,0.372047,0.621979
TRUE,TRUE,1,0.37206,0.621966
TRUE,TRUE,2,0.37206,0.621966
TRUE,TRUE,3,0.37206,0.621966
TRUE,TRUE,4,0.37206,0.621966
TRUE,FALSE,-1,0.37206,0.621966
