True,True,1,0.37206,0.621966
True,True,2,0.37206,0.621966
True,True,3,0.37206,0.621966
True,True,4,0.37206,0.621966
True,False,-1,0.37206,0.621966
True,False,1,0.372047,0.621979
True,False,2,0.372047,0.621979
True,False,3,0.372047,0.621979
True,False,4,0.372047,0.621979
False,True,-1,0.372046,0.621981
False,True,1,0.372046,0.621981
False,True,2,0.372046,0.621981
False,True,3,0.372046,0.621981
False,True,4,0.372046,0.621981
False,False,-1,0.372046,0.621981
False,False,1,0.372046,0.621981
False,False,2,0.372046,0.621981
False,False,3,0.372046,0.621981
False,False,4,0.372046,0.621981
