20,20,16,0,None,0.270174,0.725488
30,20,16,0,None,0.270174,0.725488
40,20,16,0,None,0.270174,0.725488
50,20,16,0,None,0.270174,0.725488
20,20,8,0,None,0.275696,0.719877
30,20,8,0,None,0.275809,0.719762
50,20,8,0,None,0.275809,0.719762
40,20,8,0,None,0.275879,0.719692
20,20,32,0,None,0.293371,0.701918
30,20,32,0,None,0.293371,0.701918
40,20,32,0,None,0.293371,0.701918
50,20,32,0,None,0.293371,0.701918
20,20,64,0,None,0.310895,0.684113
30,20,64,0,None,0.310895,0.684113
40,20,64,0,None,0.310895,0.684113
50,20,64,0,None,0.310895,0.684113
